Time (s),I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
0.0,0.20502,-0.02192,-0.20534,-0.07448,0.18782,-0.1079,0.2716,0.2282,0.29442,0.32206,0.13324,-0.07612
0.002,0.17286,-0.05116,-0.21658,-0.03724,0.17946,-0.12896,0.26662,0.22192,0.28186,0.30832,0.11794,-0.09096
0.004,0.10854,-0.07552,-0.1997,0.01486,0.12938,-0.13422,0.27658,0.21982,0.27288,0.2963,0.1092,-0.1021
0.006,0.10854,-0.09014,-0.21658,0.02232,0.14608,-0.15002,0.26662,0.20934,0.26032,0.28256,0.09392,-0.11696
0.008,0.12462,-0.09502,-0.23346,0.02232,0.16276,-0.16054,0.26662,0.20098,0.24954,0.2671,0.07644,-0.13924
0.01,0.10854,-0.10962,-0.23908,0.0372,0.16276,-0.17108,0.25664,0.1926,0.23876,0.25852,0.0677,-0.15408
0.012,0.09246,-0.11938,-0.23908,0.0521,0.15442,-0.17634,0.25664,0.18632,0.23338,0.2482,0.0546,-0.16152
0.014,0.08442,-0.13886,-0.25034,0.07444,0.15442,-0.19212,0.25166,0.18214,0.228,0.23962,0.04148,-0.18008
0.016,0.06832,-0.14374,-0.2447,0.08934,0.13772,-0.19212,0.24668,0.17794,0.22262,0.23446,0.03274,-0.1838
0.018,0.08442,-0.1486,-0.26158,0.08188,0.16276,-0.20266,0.2417,0.17584,0.22082,0.23274,0.02838,-0.1875
0.02,0.08442,-0.15348,-0.2672,0.08934,0.16276,-0.20792,0.24668,0.17376,0.22082,0.2293,0.02402,-0.1875
0.022,0.07636,-0.1681,-0.27846,0.10422,0.17112,-0.21844,0.25166,0.17166,0.21542,0.22588,0.01964,-0.19492
0.024,0.06028,-0.17296,-0.27284,0.11168,0.15442,-0.21844,0.25166,0.16956,0.21184,0.219,0.01528,-0.20236
0.026,0.08442,-0.1681,-0.28408,0.09678,0.17946,-0.2237,0.25664,0.16748,0.20824,0.21556,0.01308,-0.19864
0.028,0.08442,-0.18272,-0.30096,0.11168,0.18782,-0.2395,0.25664,0.16328,0.20466,0.2087,0.00436,-0.20606
0.03,0.06832,-0.19246,-0.30096,0.12658,0.17946,-0.24476,0.25166,0.1591,0.19926,0.20182,-0.00218,-0.2172
0.032,0.06028,-0.19734,-0.30096,0.12658,0.17946,-0.24476,0.26162,0.16328,0.20106,0.20182,0.0,-0.2172
0.034,0.03616,-0.2022,-0.29534,0.14146,0.16276,-0.25002,0.26662,0.16328,0.20106,0.2001,-0.00218,-0.2172
0.036,0.02008,-0.19734,-0.27846,0.14892,0.13772,-0.2395,0.25664,0.1591,0.19748,0.19838,-0.00656,-0.22464
0.038,0.02008,-0.20708,-0.2897,0.15636,0.14608,-0.25002,0.25664,0.157,0.19568,0.19666,-0.01092,-0.22834
0.04,0.0442,-0.2022,-0.30096,0.14146,0.17112,-0.25002,0.24668,0.15492,0.19388,0.19324,-0.01528,-0.23578
0.042,0.02812,-0.2022,-0.2897,0.14892,0.15442,-0.24476,0.24668,0.15492,0.1903,0.19324,-0.01528,-0.23578
0.044,0.01204,-0.2217,-0.30096,0.17126,0.15442,-0.2553,0.25664,0.157,0.19208,0.19324,-0.0131,-0.23578
0.046,0.02812,-0.21682,-0.30658,0.15636,0.16276,-0.2553,0.25664,0.15492,0.19208,0.19152,-0.0131,-0.23578
0.048,0.03616,-0.20708,-0.30096,0.14892,0.16276,-0.2553,0.26162,0.157,0.19208,0.18808,-0.01528,-0.23206
0.05,0.01204,-0.21194,-0.2897,0.1638,0.14608,-0.25002,0.25664,0.157,0.19208,0.18636,-0.01748,-0.23578
0.052,0.03616,-0.20708,-0.30096,0.14892,0.16276,-0.2553,0.25166,0.15282,0.1885,0.18636,-0.02184,-0.2432
0.054,0.05224,-0.20708,-0.3122,0.14146,0.17946,-0.2553,0.25664,0.15282,0.1903,0.18808,-0.01966,-0.2432
0.056,0.0442,-0.19734,-0.29534,0.13402,0.16276,-0.24476,0.25166,0.15282,0.1903,0.1898,-0.01966,-0.2432
0.058,0.05224,-0.2022,-0.30658,0.13402,0.17946,-0.2553,0.25166,0.157,0.19208,0.1898,-0.01966,-0.2432
0.06,0.05224,-0.2022,-0.30658,0.13402,0.17946,-0.2553,0.2417,0.15492,0.19208,0.1898,-0.01966,-0.2469
0.062,0.02812,-0.2022,-0.2897,0.14892,0.15442,-0.24476,0.2417,0.15282,0.1885,0.18808,-0.01966,-0.2469
0.064,0.02812,-0.21194,-0.30096,0.15636,0.16276,-0.2553,0.25166,0.15492,0.1903,0.18808,-0.01748,-0.2432
0.066,0.02812,-0.21194,-0.30096,0.15636,0.16276,-0.2553,0.25664,0.1591,0.19208,0.19152,-0.0131,-0.23578
0.068,0.03616,-0.21682,-0.3122,0.15636,0.17112,-0.26056,0.25664,0.1591,0.19208,0.19152,-0.0131,-0.23578
0.07,0.05224,-0.21682,-0.31784,0.14892,0.18782,-0.26582,0.25166,0.157,0.1903,0.18808,-0.01748,-0.23948
0.072,0.02812,-0.21682,-0.30658,0.15636,0.16276,-0.2553,0.26162,0.1591,0.19208,0.18808,-0.01748,-0.23206
0.074,0.03616,-0.22656,-0.31784,0.1638,0.17946,-0.27108,0.26662,0.1612,0.19568,0.19152,-0.01528,-0.22464
0.076,0.03616,-0.22656,-0.31784,0.1638,0.17946,-0.27108,0.26162,0.1612,0.19748,0.19152,-0.0131,-0.22834
0.078,0.03616,-0.2217,-0.31784,0.15636,0.17946,-0.26582,0.26662,0.1612,0.19748,0.19152,-0.01528,-0.23578
0.08,0.02812,-0.21682,-0.30658,0.15636,0.16276,-0.2553,0.26662,0.1591,0.19748,0.19496,-0.01528,-0.23206
0.082,0.05224,-0.21194,-0.31784,0.14146,0.18782,-0.26056,0.26162,0.157,0.19568,0.19324,-0.01528,-0.23206
0.084,0.07636,-0.21682,-0.3347,0.13402,0.20452,-0.27108,0.25664,0.15492,0.19568,0.19324,-0.0131,-0.23578
0.086,0.05224,-0.21194,-0.31784,0.14146,0.18782,-0.26056,0.26662,0.1591,0.19748,0.19324,-0.0131,-0.22834
0.088,0.0442,-0.20708,-0.30658,0.14146,0.17112,-0.2553,0.2716,0.1612,0.19748,0.19324,-0.0131,-0.22834
0.09,0.0442,-0.20708,-0.30658,0.14146,0.17112,-0.2553,0.26662,0.1591,0.19748,0.19324,-0.0131,-0.22834
0.092,0.06832,-0.2022,-0.31784,0.12658,0.19616,-0.2553,0.26662,0.1612,0.19748,0.19324,-0.0131,-0.23206
0.094,0.06028,-0.21194,-0.31784,0.14146,0.19616,-0.26056,0.26662,0.1612,0.19926,0.19324,-0.01528,-0.23206
0.096,0.0442,-0.21682,-0.31784,0.14892,0.17946,-0.26056,0.26662,0.16328,0.19926,0.19496,-0.01528,-0.23206
